r	a	alpha	phi1	phi2	psi1	psi2	pi1	pi2	m
1.040001	1.0633272614732427	0.6745758536569394	0.3326856251449789	0.0	-0.11569009505769816	0.0	0.0	-0.4091289670891023	0.07054163447592884
1.060001	1.065402287409087	0.6758325262770439	0.3303596153064253	0.0	-0.11690270903503455	0.0	0.0	-0.40612085044197704	0.07398970527475508
1.080001	1.067488516773903	0.6771042222875978	0.32800984450333137	0.0	-0.11806616507381996	0.0	0.0	-0.4030785185691659	0.07751258508266422
1.100001	1.0695845280646468	0.6783905036428968	0.32563729735386554	0.0	-0.11918032369391526	0.0	0.0	-0.4000031911525192	0.08110846197264333
1.120001	1.0716888952792187	0.6796909289407188	0.32324296087781706	0.0	-0.12024508422634599	0.0	0.0	-0.39689610048516394	0.08477544842088035
1.140001	1.0738001895407034	0.6810050537306245	0.32082782371977336	0.0	-0.1212603848644045	0.0	0.0	-0.393758490658033	0.08851158620069342
1.1600009999999998	1.0759169807522362	0.6823324308278195	0.3183928753718088	0.0	-0.12222620266121134	0.0	0.0	-0.39059161671519005	0.09231485130066126
1.1800009999999999	1.0780378392788903	0.6836726106321852	0.3159391053967686	0.0	-0.12314255347243336	0.0	0.0	-0.38739674377841177	0.09618315885313898
1.2000009999999999	1.0801613376527381	0.6850251414520534	0.3134675026532564	0.0	-0.124009491842989	0.0	0.0	-0.3841751461416521	0.10011436805975672
1.220001	1.0822860522970148	0.686389569832266	0.3109790545234568	0.0	-0.12482711083671683	0.0	0.0	-0.38092810633618307	0.10410628710094955
1.240001	1.084410565265102	0.6877654408860352	0.30847474614494214	0.0	-0.1255955418081433	0.0	0.0	-0.37765691416737524	0.10815667801705216
1.260001	1.0865334659898611	0.6891522986300904	0.3059555596476288	0.0	-0.12631495411565735	0.0	0.0	-0.37436286572425664	0.11226326154899742
1.280001	1.0886533530386724	0.6905496863225679	0.3034224733970606	0.0	-0.12698555477558293	0.0	0.0	-0.37104726236316066	0.11642372192720245
1.300001	1.0907688358693841	0.6919571468030794	0.3008764612452039	0.0	-0.12760758805683506	0.0	0.0	-0.3677114096669496	0.12063571159777753
1.320001	1.0928785365822553	0.6933742228343713	0.2983184917899458	0.0	-0.12818133501604817	0.0	0.0	-0.3643566163814708	0.12489685587577935
1.340001	1.094981091662867	0.6948004574449624	0.2957495276444836	0.0	-0.12870711297327828	0.0	0.0	-0.3609841933310709	0.12920475751581686
1.360001	1.0970751537109076	0.6962353942721354	0.29317052471779237	0.0	-0.12918527492859888	0.0	0.0	-0.35759545231515727	0.13355700119093314
1.380001	1.0991593931496852	0.6976785779046376	0.29058243150734725	0.0	-0.12961620892013587	0.0	0.0	-0.3541917049879554	0.13795115787129578
1.400001	1.1012324999112053	0.6991295542244355	0.2879861884052643	0.0	-0.13000033732431512	0.0	0.0	-0.35077426172375525	0.14238478909486174
1.4200009999999998	1.1032931850916554	0.7005878707468568	0.28538272701900624	0.0	-0.13033811609932777	0.0	0.0	-0.34734443047008656	0.14685545112280243
1.4400009999999999	1.105340182572183	0.7020530769584482	0.2827729695077765	0.0	-0.13063003397305056	0.0	0.0	-0.34390351559138804	0.15136069897310994
1.4600009999999999	1.1073722505999186	0.7035247246518703	0.2801578279356983	0.0	-0.1308766115768897	0.0	0.0	-0.34045281670585675	0.15589809032643026
1.480001	1.1093881733242954	0.7050023682571542	0.27753820364284376	0.0	-0.1310784005272454	0.0	0.0	-0.33699362751826706	0.16046518929879935
1.500001	1.1113867622838445	0.7064855651686434	0.27491498663514136	0.0	-0.13123598245651868	0.0	0.0	-0.33352723465164175	0.16505957007656571
1.520001	1.113366857838803	0.7079738760669525	0.27228905499415057	0.0	-0.13134996799580043	0.0	0.0	-0.3300549164807318	0.16967882040940693
1.540001	1.1153273305450566	0.7094668652352828	0.2696612743076463	0.0	-0.13142099571159252	0.0	0.0	-0.3265779419703232	0.17432054495793234
1.560001	1.117267082465151	0.7109641008694453	0.2670324971219074	0.0	-0.13144973099911297	0.0	0.0	-0.3230975695214309	0.17898236849296148
1.580001	1.1191850484123416	0.7124651553809598	0.26440356241655066	0.0	-0.1314368649349257	0.0	0.0	-0.3196150458284675	0.18366193894413244
1.600001	1.1210801971239213	0.7139696056926155	0.2617752951026948	0.0	-0.1313831130918141	0.0	0.0	-0.3161316047504809	0.18835693029605627
1.620001	1.1229515323603385	0.7154770335258999	0.25914850554517904	0.0	-0.13128921431897977	0.0	0.0	-0.3126484661995468	0.19306504533076288
1.640001	1.124798093926936	0.7169870256797276	0.25652398910949725	0.0	-0.13115592949079688	0.0	0.0	-0.3091668350493724	0.19778401821571265
1.660001	1.126618958615453	0.718499174299928	0.2539025257340442	0.0	-0.13098404022748328	0.0	0.0	-0.3056879000671239	0.20251161693713685
1.6800009999999999	1.1284132410627796	0.7200130771389788	0.2512848795281997	0.0	-0.130774347591164	0.0	0.0	-0.3022128328714232	0.20724564557895336
1.7000009999999999	1.1301800945248042	0.7215283378055058	0.24867179839670842	0.0	-0.13052767076089816	0.0	0.0	-0.29874278691938144	0.21198394644795351
