r	a	alpha	phi1	phi2	psi1	psi2	pi1	pi2	m	Sigmata
1.540001	1.136943833593155	0.6573789033974167	0.2696612743076463	0.0	-0.13142099571159252	0.0	0.0	-0.3265779419703232	0.17432054495793234	0.7474028905519232
1.560001	1.1392096458641894	0.6592939598108758	0.2670324971219074	0.0	-0.13144973099911297	0.0	0.0	-0.3230975695214309	0.17898236849296148	0.751074038476547
1.580001	1.1414478875604492	0.6612127097701028	0.26440356241655066	0.0	-0.1314368649349257	0.0	0.0	-0.3196150458284675	0.18366193894413244	0.7547398507952043
1.600001	1.1436573411584634	0.6631345893176899	0.2617752951026948	0.0	-0.1313831130918141	0.0	0.0	-0.3161316047504809	0.18835693029605627	0.7583987412492788
1.620001	1.1458368335300968	0.6650590420597612	0.25914850554517904	0.0	-0.13128921431897977	0.0	0.0	-0.3126484661995468	0.19306504533076288	0.7620491468643162
1.640001	1.1479852371471664	0.6669855195312715	0.25652398910949725	0.0	-0.13115592949079688	0.0	0.0	-0.3091668350493724	0.19778401821571265	0.7656895298128327
1.660001	1.150101471181707	0.6689134815465159	0.2539025257340442	0.0	-0.13098404022748328	0.0	0.0	-0.3056879000671239	0.20251161693713685	0.7693183792199255
1.6800009999999999	1.1521845024989508	0.6708423965342433	0.2512848795281997	0.0	-0.130774347591164	0.0	0.0	-0.3022128328714232	0.20724564557895336	0.7729342129060109
1.7000009999999999	1.1542333465405523	0.6727717418568228	0.24867179839670842	0.0	-0.13052767076089816	0.0	0.0	-0.29874278691938144	0.21198394644795351	0.7765355790613171
1.720001	1.1562470680960784	0.6747010041129581	0.24606401369073855	0.0	-0.1302448456903169	0.0	0.0	-0.2952788965254362	0.21672440204638924	0.7801210578470879
1.740001	1.1582247819612703	0.6766296794235056	0.2434622398859315	0.0	-0.1299267237515768	0.0	0.0	-0.29182227591464555	0.22146493689349617	0.783689262918814
1.760001	1.1601656534820872	0.6785572737000038	0.24086717428767762	0.0	-0.1295741703693698	0.0	0.0	-0.28837401831296366	0.2262035191978686	0.7872388428671885
1.780001	1.1620688989840322	0.6804833028955801	0.23827949676378013	0.0	-0.12918806364874805	0.0	0.0	-0.28493519507687615	0.23093816238296236	0.7907684825728845
1.800001	1.1639337860867638	0.6824072932379583	0.235699869504593	0.0	-0.12876929300051773	0.0	0.0	-0.2815068548646184	0.23566692646832996	0.7942769044716773
1.820001	1.1657596339044807	0.6843287814443497	0.23312893681064423	0.0	-0.12831875776793317	0.0	0.0	-0.27809002285102996	0.24038791930950393	0.7977628697268645
1.840001	1.1675458131330492	0.6862473149180661	0.23056732490768134	0.0	-0.12783736585837885	0.0	0.0	-0.27468569998791814	0.24509929769971842	0.8012251793063851
1.860001	1.1692917460253123	0.688162451926755	0.22801564178900322	0.0	-0.12732603238366536	0.0	0.0	-0.2712948623116152	0.24979926833692567	0.8046626749624953
1.880001	1.1709969062564658	0.6900737617622102	0.22547447708487015	0.0	-0.12678567831248416	0.0	0.0	-0.26791846029921706	0.2544860886597833	0.8080742401123097
1.900001	1.172660818681824	0.6919808248817726	0.22294440195871443	0.0	-0.12621722913846817	0.0	0.0	-0.2645574182747877	0.25915806755650483	0.8114588006179833
1.9200009999999998	1.1742830589897049	0.6938832330313875	0.22042596902980577	0.0	-0.1256216135671903	0.0	0.0	-0.26121263386660504	0.26381356595064165	0.814815325465764
1.9400009999999999	1.175863253252556	0.6957805893504401	0.21791971232196064	0.0	-0.12499976222530172	0.0	0.0	-0.25788497751631706	0.26845099726802724	0.8181428273435891
1.9600009999999999	1.177401077379797	0.6976725084585447	0.21542614723782177	0.0	-0.12435260639486752	0.0	0.0	-0.25457529204065793	0.27306882778924924	0.821440363117356
1.980001	1.1788962564761933	0.699558616524511	0.2129457705581747	0.0	-0.12368107677579881	0.0	0.0	-0.25128439224616755	0.27766557689212307	0.8247070342064109
2.000001	1.1803485641098757	0.7014385513177607	0.2104790604657118	0.0	-0.12298610227911247	0.0	0.0	-0.24801306459714292	0.2822398171887419	0.8279419868592302
2.020001	1.1817578214943938	0.703311962242513	0.2080264765926014	0.0	-0.12226860885356926	0.0	0.0	-0.24476206693684377	0.28679017456174083	0.8311444123306595
2.040001	1.1831238965894326	0.705178510355102	0.20558846009117057	0.0	-0.1215295183480537	0.0	0.0	-0.2415321282617683	0.29131532810446464	0.8343135469624599
2.060001	1.1844467031250285	0.7070378683648252	0.2031654337269646	0.0	-0.12076974741186346	0.0	0.0	-0.2383239485486198	0.29581400996976415	0.8374486721692651
2.080001	1.185726199554297	0.7088897206187676	0.200757801993405	0.0	-0.11999020643487518	0.0	0.0	-0.23513819863338906	0.30028500513215395	0.8405491143323987
2.1000010000000002	1.1869623879398292	0.7107337630710739	0.19836595124723075	0.0	-0.11919179852934896	0.0	0.0	-0.2319755201417975	0.3047271510680688	0.8436142446043028
